"year","country","value"
2003,"NOR",5
2003,"NZL",10
2003,"PAK",2
2003,"PAN",1
2003,"PER",1
2003,"PHL",3
2003,"POL",1
2003,"PRI",3
2003,"PRT",3
2003,"ROU",4
2003,"SEN",1
2003,"SRB",3
2003,"SUR",1
2003,"SWE",6
2003,"THA",1
2003,"TUR",4
2003,"USA",3225
2003,"VEN",2
2003,"VIR",1
2003,"ZAF",10
2003,"ZWE",1
2004,"AFG",1
2004,"AND",1
2004,"ARE",2
2004,"ARG",4
2004,"AUS",54
2004,"AZE",1
2004,"BEL",4
2004,"BGR",1
2004,"BLZ",2
2004,"BRA",6
2004,"CAN",356
2004,"CHE",2
2004,"CHL",1
2004,"CHN",4
2004,"COL",1
2004,"CRI",2
2004,"CUB",1
2004,"CYM",1
2004,"CYP",2
2004,"DEU",6
2004,"DNK",1
2004,"DOM",2
2004,"ECU",1
2004,"EGY",2
2004,"ESP",4
2004,"FIN",2
2004,"FRA",5
2004,"GBR",145
2004,"GRC",2
2004,"GTM",1
2004,"HRV",2
2004,"HUN",1
2004,"IDN",1
2004,"IND",14
2004,"IRL",11
2004,"IRN",4
2004,"IRQ",5
2004,"ISL",3
2004,"ISR",5
2004,"ITA",1
2004,"JAM",4
2004,"JOR",1
2004,"JPN",1
2004,"KOR",1
2004,"LBN",2
2004,"LKA",1
2004,"LTU",1
2004,"MEX",25
2004,"MKD",1
2004,"MLT",1
2004,"MMR",1
2004,"MYS",5
2004,"NGA",1
2004,"NLD",14
2004,"NOR",1
2004,"NZL",12
2004,"PAK",3
2004,"PAN",2
2004,"PER",1
2004,"PHL",6
2004,"POL",5
2004,"PRI",2
2004,"PRT",8
2004,"ROU",2
2004,"RUS",2
2004,"SRB",3
2004,"SVK",1
2004,"SWE",6
2004,"SYR",1
2004,"THA",3
2004,"TUR",2
2004,"USA",3519
2004,"VEN",1
2004,"VIR",1
2004,"ZAF",10
2005,"AFG",1
2005,"ARG",1
2005,"AUS",56
2005,"AUT",1
2005,"BEL",4
2005,"BFA",1
2005,"BGD",5
2005,"BGR",1
2005,"BHS",4
2005,"BIH",1
2005,"BOL",1
2005,"BRA",4
2005,"BRN",1
2005,"CAN",235
2005,"CHL",1
2005,"CHN",3
2005,"COL",2
2005,"CRI",1
2005,"CUB",1
2005,"CYP",2
2005,"CZE",1
2005,"DEU",3
2005,"DNK",1
2005,"EGY",1
2005,"ESP",11
2005,"EST",3
2005,"FIN",5
2005,"FRA",5
2005,"GBR",151
2005,"GEO",1
2005,"GHA",1
2005,"GRC",4
2005,"GTM",1
2005,"HRV",3
2005,"IND",8
2005,"IRL",9
2005,"IRN",1
2005,"IRQ",2
2005,"ISR",7
2005,"ITA",4
2005,"JOR",1
2005,"JPN",5
2005,"KEN",1
2005,"KOR",1
2005,"LTU",1
2005,"LVA",1
2005,"MEX",25
2005,"MNG",1
2005,"MUS",1
2005,"NGA",1
2005,"NLD",8
2005,"NOR",1
2005,"NZL",10
2005,"PAK",1
2005,"PHL",1
2005,"PLW",1
2005,"PRI",4
2005,"PRT",2
2005,"ROU",5
2005,"RUS",1
2005,"SAU",1
2005,"SLB",1
2005,"SLV",1
2005,"SRB",1
2005,"SWE",6
2005,"TCA",1
2005,"THA",3
2005,"TUR",2
2005,"UKR",1
2005,"USA",3465
2005,"UZB",1
2005,"VEN",1
2005,"VGB",1
2005,"ZAF",3
2006,"ARE",1
2006,"AUS",48
2006,"AZE",1
2006,"BEL",1
2006,"BHR",1
2006,"BHS",1
2006,"BMU",2
2006,"BRA",5
2006,"CAN",184
2006,"CHE",1
2006,"CHL",2
2006,"CHN",3
2006,"CMR",1
2006,"COL",2
2006,"CUB",1
2006,"CYP",2
2006,"DEU",4
2006,"DNK",1
2006,"DOM",1
2006,"ESP",6
2006,"EST",4
2006,"FRA",3
2006,"GBR",202
2006,"GMB",1
2006,"GRC",5
2006,"GRL",1
2006,"HND",1
2006,"HRV",3
2006,"HTI",2
2006,"HUN",3
2006,"IDN",3
2006,"IND",14
2006,"IRL",3
2006,"IRN",2
2006,"IRQ",6
2006,"ISR",3
2006,"ITA",1
2006,"JPN",3
2006,"KOR",1
2006,"LKA",1
2006,"LTU",1
2006,"LUX",1
2006,"MAR",2
2006,"MEX",21
2006,"MKD",1
2006,"MLT",1
2006,"NLD",3
2006,"NOR",1
2006,"NZL",6
2006,"PAK",1
2006,"PHL",2
2006,"POL",4
2006,"PRI",5
2006,"PRT",3
2006,"PRY",1
2006,"ROU",2
2006,"RUS",2
2006,"SRB",1
2006,"SVK",1
2006,"SWE",1
2006,"SYR",1
2006,"THA",2
2006,"TUN",1
2006,"TUR",5
2006,"UKR",1
2006,"USA",3139
2006,"VEN",1
2006,"ZAF",5
2007,"ALB",1
2007,"ARG",2
2007,"AUS",34
2007,"BEL",2
2007,"BHS",1
2007,"BLZ",1
2007,"BRA",6
2007,"CAN",204
2007,"CHE",3
2007,"CHN",5
2007,"COL",2
2007,"CRI",1
2007,"CYP",3
2007,"DEU",12
2007,"DNK",2
2007,"ECU",1
2007,"ESP",2
2007,"EST",1
2007,"FRA",2
2007,"GBR",168
2007,"GRC",3
2007,"GUY",1
2007,"HRV",4
2007,"IDN",1
2007,"IND",27
2007,"IRL",11
2007,"IRN",3
2007,"IRQ",1
2007,"ISL",1
2007,"ISR",2
2007,"ITA",1
2007,"JAM",1
2007,"JOR",1
2007,"JPN",4
2007,"KOR",1
2007,"LBN",1
2007,"LSO",1
2007,"LTU",1
2007,"MEX",17
2007,"MNG",1
2007,"MYS",1
2007,"NLD",8
2007,"NOR",6
2007,"NZL",7
2007,"PAK",4
2007,"PHL",4
2007,"POL",1
2007,"PRI",6
2007,"PRT",1
2007,"SAU",3
2007,"SVK",1
2007,"SVN",1
2007,"THA",3
2007,"TTO",1
2007,"TUR",1
2007,"USA",3739
2007,"VEN",1
2007,"ZAF",4
2008,"AFG",1
2008,"ALB",1
2008,"ARG",1
2008,"ARM",1
2008,"AUS",26
2008,"AUT",1
2008,"AZE",1
2008,"BEL",1
2008,"BGR",1
2008,"BHR",1
2008,"BRA",4
2008,"BWA",2
2008,"CAN",146
2008,"CHE",1
2008,"CHL",1
2008,"CHN",2
2008,"COL",1
2008,"CRI",1
2008,"CYP",1
2008,"DEU",18
2008,"DNK",1
2008,"ECU",1
2008,"ESP",7
2008,"EST",1
2008,"FIN",2
2008,"FJI",1
2008,"FRA",5
2008,"GBR",187
2008,"GRC",4
2008,"HRV",4
2008,"HUN",1
2008,"IND",15
2008,"IRL",8
2008,"IRN",3
2008,"IRQ",1
2008,"ITA",5
2008,"JAM",1
2008,"JOR",1
2008,"JPN",4
2008,"LBN",1
2008,"LBR",1
2008,"LKA",1
2008,"LTU",2
2008,"LVA",1
2008,"MDV",1
2008,"MEX",15
2008,"MYS",3
2008,"NAM",1
2008,"NLD",2
2008,"NOR",3
2008,"NPL",3
2008,"NZL",5
2008,"PAK",2
2008,"PAN",1
2008,"PER",1
2008,"POL",1
2008,"PRI",11
2008,"PRT",2
2008,"PRY",1
2008,"RUS",1
2008,"SRB",3
2008,"TUR",2
2008,"UKR",1
2008,"USA",4318
2008,"VEN",1
2008,"ZAF",3
2009,"AFG",1
2009,"ARE",3
2009,"ARG",1
2009,"AUS",18
2009,"AUT",2
2009,"BEL",1
2009,"BGD",1
2009,"BGR",3
2009,"BHS",1
2009,"BLZ",1
2009,"BRA",4
2009,"CAN",172
2009,"CHE",3
2009,"CHN",4
2009,"COL",1
2009,"CRI",1
2009,"CUB",1
2009,"CYP",2
2009,"CZE",1
2009,"DEU",9
2009,"DNK",3
2009,"DOM",2
2009,"EGY",1
2009,"ESP",4
2009,"EST",1
2009,"FRA",2
2009,"FRO",1
2009,"GBR",263
2009,"GEO",1
2009,"GRC",1
2009,"GRD",1
2009,"HRV",1
2009,"IND",12
2009,"IRL",15
2009,"IRN",1
2009,"IRQ",2
2009,"ISL",2
2009,"ITA",2
2009,"JAM",1
2009,"JPN",1
2009,"KOR",1
2009,"LBN",1
2009,"LTU",1
2009,"LVA",1
2009,"MEX",8
2009,"MOZ",1
2009,"MUS",1
2009,"MYS",4
2009,"NAM",2
2009,"NLD",8
2009,"NOR",6
2009,"NZL",7
2009,"OMN",1
2009,"PAK",2
2009,"PAN",1
2009,"PER",1
2009,"PHL",4
2009,"POL",1
2009,"PRI",6
2009,"PRT",3
2009,"ROU",1
2009,"RUS",2
2009,"SAU",1
2009,"SRB",1
2009,"SWE",2
2009,"SYR",1
2009,"TUR",1
2009,"TZA",1
2009,"UKR",1
2009,"URY",1
2009,"USA",3944
2009,"VEN",4
2009,"VGB",1
2009,"ZAF",9
2009,"ZWE",1
2010,"AFG",2
2010,"ARE",4
2010,"ATG",1
2010,"AUS",17
2010,"BGR",3
2010,"BLZ",1
2010,"BRA",2
2010,"CAN",188
2010,"CHE",2
2010,"CHN",4
2010,"COL",1
2010,"DEU",5
2010,"DNK",2
2010,"DOM",1
2010,"EGY",2
2010,"ESP",8
2010,"ETH",2
2010,"FIN",1
2010,"FRA",4
2010,"GBR",133
2010,"GRC",1
2010,"GTM",1
2010,"HND",1
2010,"HRV",1
2010,"HUN",1
2010,"IND",6
2010,"IRL",15
2010,"IRN",1
2010,"IRQ",1
2010,"ISL",2
2010,"ISR",2
2010,"ITA",6
2010,"JOR",2
2010,"JPN",5
2010,"KAZ",1
2010,"KWT",1
2010,"LBN",1
2010,"LKA",1
2010,"MDV",1
2010,"MEX",12
2010,"MLT",1
2010,"MYS",3
2010,"NLD",8
2010,"NZL",9
2010,"PAK",1
2010,"PAN",1
2010,"PER",3
2010,"PHL",6
2010,"PRI",3
2010,"PRT",1
2010,"ROU",1
2010,"SRB",2
2010,"SVK",1
2010,"SWE",2
2010,"THA",1
2010,"TUR",1
2010,"UKR",1
2010,"USA",3828
2010,"VEN",1
2010,"VIR",1
2010,"VNM",1
2010,"ZAF",11
2011,"ARG",1
2011,"AUS",15
2011,"AZE",1
2011,"BEL",2
2011,"BGD",2
2011,"BGR",1
2011,"BIH",1
2011,"BRA",4
2011,"CAN",167
2011,"CHE",1
2011,"CHL",1
2011,"CHN",1
2011,"COL",1
2011,"CYP",4
2011,"CZE",1
2011,"DEU",4
2011,"DNK",1
2011,"DOM",2
2011,"EGY",1
2011,"ESP",4
2011,"EST",1
2011,"FIN",1
2011,"FRA",7
2011,"GBR",63
2011,"GRC",3
2011,"HND",1
2011,"HRV",1
2011,"HUN",1
2011,"IDN",1
2011,"IND",8
2011,"IRL",5
2011,"IRN",5
2011,"ISR",2
2011,"ITA",3
2011,"JPN",1
2011,"KOR",5
2011,"KWT",1
2011,"MEX",12
2011,"MLT",1
2011,"MUS",1
2011,"MYS",2
2011,"NGA",1
2011,"NLD",6
2011,"NOR",6
2011,"NPL",1
2011,"NZL",2
2011,"PHL",1
2011,"POL",3
2011,"PRI",8
2011,"PRT",2
2011,"QAT",1
2011,"SAU",1
2011,"SRB",1
2011,"SVN",3
2011,"SWE",4
2011,"TTO",2
2011,"TUN",1
2011,"TUR",2
2011,"UKR",3
2011,"USA",4668
2011,"VIR",1
2011,"ZAF",8
2012,"AFG",2
2012,"ARE",4
2012,"ARG",2
2012,"ARM",2
2012,"AUS",27
2012,"AUT",2
