"year","country","shape","value"
2001,"IRL","circle",1
2004,"IRL","circle",2
2005,"IRL","circle",2
2007,"IRL","circle",3
2009,"IRL","circle",2
2010,"IRL","circle",1
2011,"IRL","circle",1
2012,"IRL","circle",2
2013,"IRL","circle",1
2014,"IRL","circle",1
1984,"IRN","circle",1
1992,"IRN","circle",1
2000,"IRN","circle",1
2014,"IRN","circle",1
1998,"ISL","circle",1
1994,"ISR","circle",1
2003,"ISR","circle",2
2004,"ISR","circle",1
2005,"ISR","circle",1
2011,"ISR","circle",1
2012,"ISR","circle",2
2013,"ISR","circle",1
2002,"ITA","circle",1
2005,"ITA","circle",1
2008,"ITA","circle",2
2011,"ITA","circle",1
2004,"JAM","circle",1
2008,"JAM","circle",1
2009,"JAM","circle",1
2011,"KOR","circle",1
2010,"KWT","circle",1
2011,"KWT","circle",1
2001,"LBN","circle",1
2008,"LBN","circle",1
2008,"LBR","circle",1
2002,"LKA","circle",2
2013,"LSO","circle",1
2005,"LTU","circle",1
2013,"LTU","circle",1
1985,"LVA","circle",1
2009,"LVA","circle",1
1976,"MAR","circle",1
2006,"MAR","circle",1
1968,"MEX","circle",1
1980,"MEX","circle",1
1993,"MEX","circle",1
1999,"MEX","circle",1
2002,"MEX","circle",4
2003,"MEX","circle",4
2004,"MEX","circle",2
2005,"MEX","circle",1
2006,"MEX","circle",2
2007,"MEX","circle",1
2008,"MEX","circle",3
2013,"MEX","circle",1
2010,"MLT","circle",1
2011,"MLT","circle",1
2013,"MUS","circle",2
2000,"MYS","circle",1
2001,"MYS","circle",1
2003,"MYS","circle",1
2007,"MYS","circle",1
2010,"MYS","circle",2
2004,"NGA","circle",1
1996,"NLD","circle",1
1998,"NLD","circle",1
2001,"NLD","circle",1
2002,"NLD","circle",2
2003,"NLD","circle",2
2004,"NLD","circle",3
2005,"NLD","circle",3
2007,"NLD","circle",1
2009,"NLD","circle",2
2011,"NLD","circle",1
2012,"NLD","circle",1
2000,"NOR","circle",1
2006,"NOR","circle",1
2013,"NOR","circle",1
2008,"NPL","circle",1
1973,"NZL","circle",1
1977,"NZL","circle",1
1986,"NZL","circle",1
1999,"NZL","circle",1
2001,"NZL","circle",1
2002,"NZL","circle",1
2003,"NZL","circle",2
2005,"NZL","circle",3
2008,"NZL","circle",1
2009,"NZL","circle",3
2013,"NZL","circle",2
2014,"NZL","circle",1
2009,"PAK","circle",1
1968,"PER","circle",1
1978,"PER","circle",1
1979,"PER","circle",1
2000,"PER","circle",1
2002,"PER","circle",1
1978,"PHL","circle",1
1995,"PHL","circle",1
2002,"PHL","circle",1
2004,"PHL","circle",1
2005,"PHL","circle",1
2006,"PHL","circle",1
2009,"PHL","circle",3
2013,"PHL","circle",1
2005,"PLW","circle",1
2012,"PLW","circle",1
2003,"POL","circle",1
2006,"POL","circle",1
2007,"POL","circle",1
1972,"PRI","circle",1
1991,"PRI","circle",1
1999,"PRI","circle",1
2004,"PRI","circle",1
2007,"PRI","circle",1
2008,"PRI","circle",2
2009,"PRI","circle",1
2010,"PRI","circle",1
2011,"PRI","circle",2
1997,"PRT","circle",1
2002,"PRT","circle",1
2004,"PRT","circle",1
2008,"PRT","circle",1
2012,"PRT","circle",1
2006,"PRY","circle",1
1997,"QAT","circle",1
1983,"ROU","circle",1
2002,"ROU","circle",1
2013,"ROU","circle",1
1990,"SAU","circle",1
2002,"SAU","circle",1
2002,"SGP","circle",1
2005,"SLB","circle",1
2005,"SLV","circle",1
2008,"SRB","circle",1
2009,"SRB","circle",1
1995,"SWE","circle",1
1999,"SWE","circle",1
2001,"SWE","circle",1
2003,"SWE","circle",1
2004,"SWE","circle",2
2005,"SWE","circle",3
2001,"THA","circle",1
2007,"THA","circle",1
2013,"THA","circle",2
2000,"TUR","circle",1
2002,"TUR","circle",1
2006,"TUR","circle",1
2008,"TUR","circle",1
2011,"TUR","circle",1
2002,"URY","circle",1
1962,"USA","circle",4
1966,"USA","circle",15
1968,"USA","circle",24
1970,"USA","circle",7
1971,"USA","circle",14
1972,"USA","circle",16
1973,"USA","circle",19
1974,"USA","circle",28
1975,"USA","circle",28
1976,"USA","circle",20
1977,"USA","circle",20
1978,"USA","circle",17
1979,"USA","circle",17
1980,"USA","circle",10
1981,"USA","circle",8
1982,"USA","circle",12
1983,"USA","circle",9
1984,"USA","circle",22
1985,"USA","circle",17
1986,"USA","circle",10
1987,"USA","circle",9
1988,"USA","circle",23
1989,"USA","circle",10
1990,"USA","circle",12
