"unique.id";"datetime";"country";"Year";"WeekDay";"Hour"
270;2013-10-10 20:32:00;"USA";"2013";"Qui";"20"
271;2013-10-10 20:35:00;"USA";"2013";"Qui";"20"
272;2013-10-10 21:00:00;"CAN";"2013";"Qui";"21"
273;2013-10-10 21:17:00;"USA";"2013";"Qui";"21"
274;2013-10-10 21:30:00;"USA";"2013";"Qui";"21"
275;1973-10-11 16:45:00;"USA";"1973";"Qui";"16"
276;1978-10-11 23:00:00;"USA";"1978";"Qua";"23"
277;1986-10-11 20:30:00;"AUS";"1986";"Sáb";"20"
278;1987-10-11 21:30:00;"USA";"1987";"Dom";"21"
279;1987-10-11 23:59:00;"USA";"1987";"Dom";"23"
280;1989-10-11 02:30:00;"DNK";"1989";"Qua";"02"
281;1989-10-11 21:00:00;"USA";"1989";"Qua";"21"
282;1989-10-11 21:00:00;"USA";"1989";"Qua";"21"
283;1992-10-11 10:00:00;"USA";"1992";"Dom";"10"
284;1994-10-11 02:00:00;"USA";"1994";"Ter";"02"
285;1994-10-11 04:00:00;"USA";"1994";"Ter";"04"
286;1995-10-11 18:30:00;"USA";"1995";"Qua";"18"
287;1995-10-11 20:00:00;"USA";"1995";"Qua";"20"
288;1996-10-11 16:00:00;"USA";"1996";"Sex";"16"
289;1996-10-11 22:00:00;"USA";"1996";"Sex";"22"
290;1997-10-11 22:00:00;"ISL";"1997";"Sáb";"22"
291;1997-10-11 23:30:00;"SWE";"1997";"Sáb";"23"
292;1998-10-11 02:15:00;"USA";"1998";"Dom";"02"
293;1998-10-11 14:05:00;"USA";"1998";"Dom";"14"
294;1998-10-11 14:30:00;"USA";"1998";"Dom";"14"
295;1998-10-11 20:30:00;"USA";"1998";"Dom";"20"
296;1998-10-11 20:30:00;"USA";"1998";"Dom";"20"
297;1998-10-11 22:40:00;"USA";"1998";"Dom";"22"
298;1998-10-11 22:45:00;"USA";"1998";"Dom";"22"
299;1999-10-11 00:15:00;"USA";"1999";"Seg";"00"
300;1999-10-11 01:00:00;"CAN";"1999";"Seg";"01"
301;1999-10-11 04:30:00;"USA";"1999";"Seg";"04"
302;1999-10-11 07:40:00;"USA";"1999";"Seg";"07"
303;1999-10-11 09:10:00;"USA";"1999";"Seg";"09"
304;1999-10-11 18:00:00;"CAN";"1999";"Seg";"18"
