Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unnamed: 61
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.036548937999999996,0.07178314400000001,0.141084507,0.346980781,0.68347561,1.0570924959999999,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45.0,52.24960729,55.05,58.0,61.11,64.289,66.01,
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.00016868,0.001168115,0.00495471,0.013081691999999999,0.032394861000000004,0.168540297,0.708187957,1.7759132069999999,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16.0,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.00020025599999999997,0.00840978,0.018828361000000002,0.060974439000000005,0.11868591699999999,0.231461671,0.39574770200000003,0.497929361,0.758669629,0.849282415,1.039238205,1.5249007909999999,1.8,1.9,2.0,2.7,2.9,5.0,12.0,19.2742298,21.88520842,26.52722561,
Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.006768744,0.013216341000000001,0.129067581,0.252120078,0.277051322,0.36087158399999997,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.21487223,20.68014766,25.0,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.000108207,0.000211213,0.000413065,0.001009076,0.005902114,0.011475782,0.09279070199999999,0.13491483699999998,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3.0,3.799999507,6.20997406,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.00352686,0.003469104,0.003415143,0.016791049,0.026354732000000002,0.032223616000000004,0.157249517,0.460014187,1.07750493,1.46342006,2.0079900790000003,2.7597043739999996,4.287509903,4.5,5.0,5.6,6.1066950239999995,6.6,7.11,7.615974662,8.121949322999999,
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.107173945,0.18804679,0.330017773,0.5505210229999999,1.126225245,1.6977307940000002,2.207532993,2.8541999710000003,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30.0,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357,
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.03787097,0.148162964,0.27174060699999997,0.44306837299999996,0.554869675,0.84818937,1.327327178,2.0,2.2,2.5,3.0,3.5,5.1,5.5,5.975296308,6.5,6.98,7.459161386,7.938322771,
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.24096792,0.47273500799999996,1.159982461,1.822443852,2.685332713,3.518757175,4.3248853910000005,5.31883207,6.074087107,6.808911008,8.28321982,14.0,21.0,30.0,32.0,34.74,37.5,40.26,47.96162392,48.1652774,
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.001113325,0.081509754,0.279912479,0.416829206,0.84105704,1.6402212880000002,2.666378698,3.9043232569999997,5.800253023,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,39.212196,47.5,45.96,53.0,59.76295014,66.02871285,
