"year","country","value"
1996,"BRA",0.450789179
1997,"BRA",0.786079155
1998,"BRA",1.477874959
1999,"BRA",2.038732184
2000,"BRA",2.8706851589999998
2001,"BRA",4.528494869
2002,"BRA",9.149425086
2003,"BRA",13.2075861
2004,"BRA",19.07367227
2005,"BRA",21.02274725
2006,"BRA",28.17838018
2007,"BRA",30.88
2008,"BRA",33.83
2009,"BRA",39.22
2010,"BRA",40.65
2011,"BRA",45.69
2012,"BRA",48.56
2013,"BRA",51.04
2014,"BRA",54.55100188
2015,"BRA",58.32795173
2016,"BRA",59.68274736
1990,"BRB",0.0
1991,"BRB",0
1992,"BRB",0
1993,"BRB",0
1994,"BRB",0
1995,"BRB",0.007752238000000001
1996,"BRB",0.389464214
1997,"BRB",0.783428912
1998,"BRB",1.970249237
1999,"BRB",2.376247035
2000,"BRB",3.973678355
2001,"BRB",11.93645034
2002,"BRB",27.83632242
2003,"BRB",39.68962712
2004,"BRB",49.8
2005,"BRB",52.5
2006,"BRB",55.3
2007,"BRB",58.2
2008,"BRB",61.4
2009,"BRB",64.7
2010,"BRB",65.1
2011,"BRB",66.5
2012,"BRB",71.2
2013,"BRB",71.8
2014,"BRB",75.16
2015,"BRB",76.11
2016,"BRB",79.54939789
1990,"BRN",0.0
1991,"BRN",0
1992,"BRN",0
1993,"BRN",0
1994,"BRN",0
1995,"BRN",1.017080166
1996,"BRN",3.3033499269999997
1997,"BRN",4.831057905
1998,"BRN",6.284742844
1999,"BRN",7.671041206
2000,"BRN",8.996284533999999
2001,"BRN",12.91776908
2002,"BRN",15.32987986
2003,"BRN",19.59500322
2004,"BRN",29.71560414
2005,"BRN",36.46639195
2006,"BRN",42.18634916
2007,"BRN",44.68
2008,"BRN",46.0
2009,"BRN",49.0
2010,"BRN",53.0
2011,"BRN",56.0
2012,"BRN",60.27306504
2013,"BRN",64.5
2014,"BRN",68.77
2015,"BRN",71.2
2016,"BRN",75.0
1990,"BTN",0.0
1991,"BTN",0
1992,"BTN",0
1993,"BTN",0
1994,"BTN",0
1995,"BTN",0
1996,"BTN",0
1997,"BTN",0
1998,"BTN",0
1999,"BTN",0.137571514
2000,"BTN",0.40094444700000004
2001,"BTN",0.8646285640000001
2002,"BTN",1.6758025840000002
2003,"BTN",2.436912399
2004,"BTN",3.1569841960000002
2005,"BTN",3.847106745
2006,"BTN",4.518317258
2007,"BTN",5.92
2008,"BTN",6.55
2009,"BTN",7.17
2010,"BTN",13.6
2011,"BTN",14.4
2012,"BTN",15.6
2013,"BTN",22.4
2014,"BTN",30.3
2015,"BTN",39.8
2016,"BTN",41.77264453
1960,"BWA",0.0
1961,"BWA",0
1962,"BWA",0
1963,"BWA",0
1964,"BWA",0
1965,"BWA",0.0
1966,"BWA",0
1967,"BWA",0
1968,"BWA",0
1969,"BWA",0
1970,"BWA",0.0
1971,"BWA",0
1972,"BWA",0
1973,"BWA",0
1974,"BWA",0
1975,"BWA",0.0
1976,"BWA",0.0
1977,"BWA",0.0
1978,"BWA",0.0
1979,"BWA",0.0
1980,"BWA",0.0
1981,"BWA",0.0
1982,"BWA",0.0
1983,"BWA",0.0
1984,"BWA",0.0
1985,"BWA",0.0
1986,"BWA",0.0
1987,"BWA",0.0
1988,"BWA",0.0
1989,"BWA",0.0
1990,"BWA",0.0
1991,"BWA",0.0
1992,"BWA",0
1993,"BWA",0
1994,"BWA",0
1995,"BWA",0.064521041
1996,"BWA",0.15745423
1997,"BWA",0.30774685
1998,"BWA",0.602400929
1999,"BWA",1.122391474
2000,"BWA",2.902666622
2001,"BWA",3.430886787
2002,"BWA",3.385922351
2003,"BWA",3.345190174
2004,"BWA",3.3048892530000002
2005,"BWA",3.262554036
2006,"BWA",4.289932975
2007,"BWA",5.28
2008,"BWA",6.25
2009,"BWA",6.15
2010,"BWA",6.0
2011,"BWA",9.0
2012,"BWA",16.0
2013,"BWA",30.0
2014,"BWA",36.74474744
2015,"BWA",37.31205037
2016,"BWA",39.36299738
1990,"CAF",0.0
1991,"CAF",0
1992,"CAF",0
1993,"CAF",0
1994,"CAF",0
1995,"CAF",0
1996,"CAF",0.005849503000000001
1997,"CAF",0.014270881000000001
1998,"CAF",0.027878201000000002
1999,"CAF",0.040894287
2000,"CAF",0.053394174
2001,"CAF",0.078543428
2002,"CAF",0.128537117
2003,"CAF",0.15156333800000002
2004,"CAF",0.223401395
2005,"CAF",0.268195609
2006,"CAF",0.311159173
2007,"CAF",0.37581596100000003
2008,"CAF",1.0
2009,"CAF",1.8
2010,"CAF",2.0
2011,"CAF",2.2
2012,"CAF",3.0
2013,"CAF",3.4
2014,"CAF",3.6
2015,"CAF",3.8
2016,"CAF",4.0
1990,"CAN",0.360999701
1991,"CAN",0.570385926
1992,"CAN",0.91598104
1993,"CAN",1.184557509
1994,"CAN",2.378693853
1995,"CAN",4.163525253
1996,"CAN",6.76023965
1997,"CAN",15.07235736
1998,"CAN",24.8974003
1999,"CAN",36.18644004
2000,"CAN",51.3
2001,"CAN",60.2
2002,"CAN",61.59329927
2003,"CAN",64.2
