release_date;title;Year;Month;Day
2009-07-31;Aliens in the Attic                                           ; 2009; 7; 31
1998-01-30;Deep Rising                                                   ; 1998; 1; 30
2006-01-12;Underworld: Evolution                                         ; 2006; 1; 12
2015-11-10;Victor Frankenstein                                           ; 2015; 11; 10
1989-11-20;Back to the Future Part II                                    ; 1989; 11; 20
2014-07-14;Lucy                                                          ; 2014; 7; 14
2003-07-25;Spy Kids 3-D: Game Over                                       ; 2003; 7; 25
1990-05-25;Back to the Future Part III                                   ; 1990; 5; 25
1998-07-10;Small Soldiers                                                ; 1998; 7; 10
1997-07-31;Spawn                                                         ; 1997; 7; 31
2013-02-14;Escape from Planet Earth                                      ; 2013; 2; 14
2010-07-03;Predators                                                     ; 2010; 7; 3
2007-12-25;Aliens vs Predator: Requiem                                   ; 2007; 12; 25
2011-02-14;Paul                                                          ; 2011; 2; 14
1994-07-01;The Shadow                                                    ; 1994; 7; 1
1996-08-23;The Island of Dr. Moreau                                      ; 1996; 8; 23
1992-02-28;Memoirs of an Invisible Man                                   ; 1992; 2; 28
1999-08-05;Universal Soldier: The Return                                 ; 1999; 8; 5
2009-09-08;Pandorum                                                      ; 2009; 9; 8
2001-12-03;Impostor                                                      ; 2001; 12; 3
2001-04-06;Just Visiting                                                 ; 2001; 4; 6
2007-04-05;Sunshine                                                      ; 2007; 4; 5
2008-12-12;Delgo                                                         ; 2008; 12; 12
2013-08-01;Snowpiercer                                                   ; 2013; 8; 1
2005-08-25;Serenity                                                      ; 2005; 8; 25
1983-06-17;Superman III                                                  ; 1983; 6; 17
1994-11-17;Star Trek: Generations                                        ; 1994; 11; 17
1982-06-25;The Thing                                                     ; 1982; 6; 25
2013-09-02;Riddick                                                       ; 2013; 9; 2
2016-01-14;The 5th Wave                                                  ; 2016; 1; 14
2008-12-18;The Inhabited Island                                          ; 2008; 12; 18
2010-03-26;Hot Tub Time Machine                                          ; 2010; 3; 26
1997-09-07;Gattaca                                                       ; 1997; 9; 7
1999-06-08;Austin Powers: The Spy Who Shagged Me                         ; 1999; 6; 8
1979-12-06;Star Trek: The Motion Picture                                 ; 1979; 12; 6
1995-07-07;Species                                                       ; 1995; 7; 7
2000-08-17;The Cell                                                      ; 2000; 8; 17
2009-01-22;Underworld: Rise of the Lycans                                ; 2009; 1; 22
2002-03-15;Resident Evil                                                 ; 2002; 3; 15
2011-10-27;In Time                                                       ; 2011; 10; 27
1990-11-20;Predator 2                                                    ; 1990; 11; 20
1980-09-01;Flash Gordon                                                  ; 1980; 9; 1
2008-07-24;The X Files: I Want to Believe                                ; 2008; 7; 24
2008-03-27;Superhero Movie                                               ; 2008; 3; 27
2014-09-10;The Maze Runner                                               ; 2014; 9; 10
2006-09-06;The Fountain                                                  ; 2006; 9; 6
1999-08-26;The Astronaut's Wife                                          ; 1999; 8; 26
2011-12-22;The Darkest Hour                                              ; 2011; 12; 22
1983-05-23;Return of the Jedi                                            ; 1983; 5; 23
2008-03-14;Doomsday                                                      ; 2008; 3; 14
1996-07-05;Phenomenon                                                    ; 1996; 7; 5
2011-03-30;Source Code                                                   ; 2011; 3; 30
2010-03-18;Repo Men                                                      ; 2010; 3; 18
2007-02-08;Dragon Wars: D-War                                            ; 2007; 2; 8
1979-06-26;Moonraker                                                     ; 1979; 6; 26
2000-04-28;Frequency                                                     ; 2000; 4; 28
2009-08-05;District 9                                                    ; 2009; 8; 5
2012-09-26;Looper                                                        ; 2012; 9; 26
2001-02-16;Down to Earth                                                 ; 2001; 2; 16
1989-06-09;Star Trek V: The Final Frontier                               ; 1989; 6; 9
1987-11-13;The Running Man                                               ; 1987; 11; 13
1997-11-21;Mortal Kombat: Annihilation                                   ; 1997; 11; 21
2009-08-19;9                                                             ; 2009; 8; 19
1995-08-04;Virtuosity                                                    ; 1995; 8; 4
2006-06-20;My Super Ex-Girlfriend                                        ; 2006; 6; 20
2006-03-03;Ultraviolet                                                   ; 2006; 3; 3
2009-10-06;Splice                                                        ; 2009; 10; 6
1986-08-01;Howard the Duck                                               ; 1986; 8; 1
1999-03-11;Wing Commander                                                ; 1999; 3; 11
2009-04-01;Dragonball Evolution                                          ; 2009; 4; 1
2004-04-30;Godsend                                                       ; 2004; 4; 30
2013-09-07;Space Pirate Captain Harlock                                  ; 2013; 9; 7
1994-09-15;Timecop                                                       ; 1994; 9; 15
1982-06-25;Blade Runner                                                  ; 1982; 6; 25
2001-08-24;Ghosts of Mars                                                ; 2001; 8; 24
1991-12-05;Star Trek VI: The Undiscovered Country                        ; 1991; 12; 5
1999-07-15;Lake Placid                                                   ; 1999; 7; 15
1998-02-27;Dark City                                                     ; 1998; 2; 27
1990-08-09;Flatliners                                                    ; 1990; 8; 9
2002-03-17;Clockstoppers                                                 ; 2002; 3; 17
1994-11-29;Highlander: The Final Dimension                               ; 1994; 11; 29
2015-07-10;Self/less                                                     ; 2015; 7; 10
2001-12-21;Jimmy Neutron: Boy Genius                                     ; 2001; 12; 21
2008-01-15;Cloverfield                                                   ; 2008; 1; 15
1991-03-22;Teenage Mutant Ninja Turtles II: The Secret of the Ooze       ; 1991; 3; 22
2014-08-11;The Giver                                                     ; 2014; 8; 11
2004-08-26;Anacondas: The Hunt for the Blood Orchid                      ; 2004; 8; 26
2009-09-17;The Box                                                       ; 2009; 9; 17
1985-06-20;Lifeforce                                                     ; 1985; 6; 20
1984-08-17;Sheena                                                        ; 1984; 8; 17
1995-03-31;Tank Girl                                                     ; 1995; 3; 31
2008-05-14;Blindness                                                     ; 2008; 5; 14
1986-11-25;Star Trek IV: The Voyage Home                                 ; 1986; 11; 25
1999-07-14;Muppets from Space                                            ; 1999; 7; 14
1993-09-23;The Thief and the Cobbler                                     ; 1993; 9; 23
1980-05-17;The Empire Strikes Back                                       ; 1980; 5; 17
2000-02-18;Pitch Black                                                   ; 2000; 2; 18
2013-12-18;Her                                                           ; 2013; 12; 18
1987-06-24;Spaceballs                                                    ; 1987; 6; 24
1993-04-17;RoboCop 3                                                     ; 1993; 4; 17
2001-09-07;Megiddo: The Omega Code 2                                     ; 2001; 9; 7
1982-06-13;Firefox                                                       ; 1982; 6; 13
1993-03-17;Teenage Mutant Ninja Turtles III                              ; 1993; 3; 17
1999-03-11;The Rage: Carrie 2                                            ; 1999; 3; 11
1999-04-14;eXistenZ                                                      ; 1999; 4; 14
1977-11-16;Close Encounters of the Third Kind                            ; 1977; 11; 16
1991-07-19;Bill & Ted's Bogus Journey                                    ; 1991; 7; 19
1979-12-18;The Black Hole                                                ; 1979; 12; 18
2004-03-19;Eternal Sunshine of the Spotless Mind                         ; 2004; 3; 19
2013-07-18;The World's End                                               ; 2013; 7; 18
2009-01-06;Daybreakers                                                   ; 2009; 1; 6
2006-09-08;The Covenant                                                  ; 2006; 9; 8
2012-04-12;Lockout                                                       ; 2012; 4; 12
2006-05-25;A Scanner Darkly                                              ; 2006; 5; 25
2002-12-06;Equilibrium                                                   ; 2002; 12; 6
2004-07-17;Steamboy                                                      ; 2004; 7; 17
2008-01-30;CJ7                                                           ; 2008; 1; 30
2011-03-16;Dylan Dog: Dead of Night                                      ; 2011; 3; 16
1985-07-03;Back to the Future                                            ; 1985; 7; 3
2000-07-26;Thomas and the Magic Railroad                                 ; 2000; 7; 26
1984-05-31;Star Trek III: The Search for Spock                           ; 1984; 5; 31
2014-10-03;Left Behind                                                   ; 2014; 10; 3
1997-05-02;Austin Powers: International Man of Mystery                   ; 1997; 5; 2
1987-06-11;Predator                                                      ; 1987; 6; 11
1982-06-25;Megaforce                                                     ; 1982; 6; 25
2016-02-18;Midnight Special                                              ; 2016; 2; 18
1986-11-21;The Wraith                                                    ; 1986; 11; 21
1985-07-19;Day of the Dead                                               ; 1985; 7; 19
2006-03-16;Renaissance                                                   ; 2006; 3; 16
1986-07-18;Aliens                                                        ; 1986; 7; 18
2003-10-10;Good Boy!                                                     ; 2003; 10; 10
1987-07-23;Superman IV: The Quest for Peace                              ; 1987; 7; 23
2006-05-15;Southland Tales                                               ; 2006; 5; 15
1977-09-10;Damnation Alley                                               ; 1977; 9; 10
1988-12-09;My Stepmother is an Alien                                     ; 1988; 12; 9
1999-04-16;The Thirteenth Floor                                          ; 1999; 4; 16
1979-10-19;Meteor                                                        ; 1979; 10; 19
1997-08-15;Steel                                                         ; 1997; 8; 15
2006-03-31;Slither                                                       ; 2006; 3; 31
1998-12-25;The Faculty                                                   ; 1998; 12; 25
2007-04-26;28 Weeks Later                                                ; 2007; 4; 26
2002-10-11;Tuck Everlasting                                              ; 2002; 10; 11
1998-07-24;Disturbing Behavior                                           ; 1998; 7; 24
2008-01-11;VeggieTales: The Pirates Who Don't Do Anything                ; 2008; 1; 11
2000-09-01;Highlander: Endgame                                           ; 2000; 9; 1
1985-02-20;Brazil                                                        ; 1985; 2; 20
2010-09-15;Never Let Me Go                                               ; 2010; 9; 15
2015-09-11;Listening                                                     ; 2015; 9; 11
1927-01-10;Metropolis                                                    ; 1927; 1; 10
2004-11-09;District B13                                                  ; 2004; 11; 9
2014-10-09;Automata                                                      ; 2014; 10; 9
2001-07-24;Jason X                                                       ; 2001; 7; 24
2014-03-14;Under the Skin                                                ; 2014; 3; 14
2004-01-22;The Butterfly Effect                                          ; 2004; 1; 22
1999-03-12;Baby Geniuses                                                 ; 1999; 3; 12
2007-11-21;The Mist                                                      ; 2007; 11; 21
2015-01-21;Ex Machina                                                    ; 2015; 1; 21
2014-06-14;Earth to Echo                                                 ; 2014; 6; 14
2006-10-15;The Astronaut Farmer                                          ; 2006; 10; 15
2011-05-12;Attack the Block                                              ; 2011; 5; 12
2010-07-15;Womb                                                          ; 2010; 7; 15
1982-06-03;Star Trek II: The Wrath of Khan                               ; 1982; 6; 3
1983-06-03;WarGames                                                      ; 1983; 6; 3
2012-02-01;Chronicle                                                     ; 2012; 2; 1
1981-07-13;Time Bandits                                                  ; 1981; 7; 13
2008-10-10;Quarantine                                                    ; 2008; 10; 10
1979-01-01;Prophecy                                                      ; 1979; 1; 1
1978-10-05;The Boys from Brazil                                          ; 1978; 10; 5
2001-10-05;Max Keeble's Big Move                                         ; 2001; 10; 5
2013-08-16;About Time                                                    ; 2013; 8; 16
2015-01-30;Project Almanac                                               ; 2015; 1; 30
1992-09-30;Fortress                                                      ; 1992; 9; 30
2006-07-27;The Host                                                      ; 2006; 7; 27
2004-05-20;2046                                                          ; 2004; 5; 20
2002-10-01;Cypher                                                        ; 2002; 10; 1
2010-12-01;Space Battleship Yamato                                       ; 2010; 12; 1
1977-05-25;Star Wars                                                     ; 1977; 5; 25
2007-12-21;St. Trinian's                                                 ; 2007; 12; 21
1986-01-01;Invaders from Mars                                            ; 1986; 1; 1
2013-08-11;The Last Days on Mars                                         ; 2013; 8; 11
1968-04-10;2001: A Space Odyssey                                         ; 1968; 4; 10
1982-04-03;E.T. the Extra-Terrestrial                                    ; 1982; 4; 3
1989-02-17;Bill & Ted's Excellent Adventure                              ; 1989; 2; 17
2001-01-27;Recess: School's Out                                          ; 2001; 1; 27
1985-06-29;Mad Max Beyond Thunderdome                                    ; 1985; 6; 29
1992-03-05;The Lawnmower Man                                             ; 1992; 3; 5
1983-06-24;Twilight Zone: The Movie                                      ; 1983; 6; 24
1983-10-21;The Dead Zone                                                 ; 1983; 10; 21
2009-11-06;The Fourth Kind                                               ; 2009; 11; 6
2010-11-11;Skyline                                                       ; 2010; 11; 11
2012-06-22;Seeking a Friend for the End of the World                     ; 2012; 6; 22
2012-10-12;Atlas Shrugged Part II                                        ; 2012; 10; 12
2006-06-23;Krrish                                                        ; 2006; 6; 23
